,Unnamed: 0,text,label
3113,1530,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn .,1
3872,2003,"like the english patient and the unbearable lightness of being , the hours is one of those reputedly "" unfilmable "" novels that has bucked the odds to emerge as an exquisite motion picture in its own right .",1
2408,4152,playfully profound . . . and crazier than michael jackson on the top floor of a skyscraper nursery surrounded by open windows .,1
257,1246,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms .,1
666,2515,visually striking and viscerally repellent .,1
1597,1330,one of the smartest takes on singles culture i've seen in a long time .,1
2385,697,a movie for 11-year-old boys with sports dreams of their own and the preteen girls who worship lil' bow wow .,1
4689,3980,"it's plotless , shapeless -- and yet , it must be admitted , not entirely humorless . indeed , the more outrageous bits achieve a shock-you-into-laughter intensity of almost dadaist proportions .",1
4449,410,"most impressive , though , is the film's open-ended finale that refuses to entirely close its characters' emotional wounds .",1
3985,6221,it takes talent to make a lifeless movie about the most heinous man who ever lived .,0
409,2025,. . . begins on a high note and sustains it beautifully .,1
1915,2597,"'divertida , enternecedora , universal y profundamente sincera , es una de las mejores comedias románticas en mucho tiempo . una verdadera delicia . '",1
1032,3588,"an engaging , formulaic sports drama that carries a charge of genuine excitement .",1
3267,1274,"dazzling in its complexity , disturbing for its extraordinary themes , the piano teacher is a film that defies categorisation . it haunts , horrifies , startles and fascinates ; it is impossible to look away . ah yes , and then there's the music . . .",1
2754,3505,"an interesting psychological game of cat-and-mouse , three-dimensional characters and believable performances all add up to a satisfying crime drama .",1
4680,6991,"after seeing swept away , i feel sorry for madonna .",0
2220,363,it's a movie -- and an album -- you won't want to miss .,1
658,4219,"more mature than fatal attraction , more complete than indecent proposal and more relevant than 9 ½ weeks , unfaithful is at once intimate and universal cinema .",1
4209,3989,a mildly enjoyable if toothless adaptation of a much better book .,1
1308,4264,it's clear that mehta simply wanted to update her beloved genre for the thousands of indians who fancy themselves too sophisticated for the cheese-laced spectacles that pack 'em in on the subcontinent .,1
1514,3040,"a well-done film of a self-reflexive , philosophical nature .",1
2079,3463,this story of a determined woman's courage to find her husband in a war zone offers winning performances and some effecting moments .,1
1497,267,"all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit .",1
524,3389,secretary is not a movie about fetishism . it is a movie about passion .,1
2206,4241,"what makes salton sea surprisingly engrossing is that caruso takes an atypically hypnotic approach to a world that's often handled in fast-edit , hopped-up fashion .",1
121,2633,i love the opening scenes of a wintry new york city in 1899 . cinematic poetry showcases the city's old-world charm before machines change nearly everything .,1
723,1579,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,1
1262,6499,could the whole plan here have been to produce something that makes fatal attraction look like a classic by comparison ? that's the only sane rationale i can think of for swimfan's existence .,0
588,1535,this remake gets all there is to get out of a peculiar premise with promise : al pacino loathing robin williams .,1
1790,6694,"in the second half of the film , frei's control loosens in direct proportion to the amount of screen time he gives nachtwey for self-analysis .",0
2467,1234,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .",1
2813,2411,"going to this movie is a little like chewing whale blubber - it's an acquired taste that takes time to enjoy , but it's worth it , even if it does take 3 hours to get through .",1
3977,2305,it'll keep you wide awake and . . . very tense .,1
3536,6933,"serry does a fine job of capturing the climate of the times and , perhaps unwittingly , relating it to what is happening in america in 2002 . but hard-to-believe plot twists force the movie off track in its final half hour .",0
825,3376,"by and large this is mr . kilmer's movie , and it's his strongest performance since the doors .",1
2712,1905,"sitting in the third row of the imax cinema at sydney's darling harbour , but i sometimes felt as though i was in the tiny two seater plane that carried the giant camera around australia , sweeping and gliding , banking and hovering over some of the most not",1
1000,2318,"while it has definite weaknesses -- like a rather unbelievable love interest and a meandering ending -- this '60s caper film is a riveting , brisk delight .",1
959,657,"when your leading ladies are a couple of screen-eating dominatrixes like goldie hawn and susan sarandon at their raunchy best , even hokum goes down easily .",1
3645,3321,"satin rouge is not a new , or inventive , journey , but it's encouraging to see a three-dimensional , average , middle-aged woman's experience of self-discovery handled with such sensitivity .",1
2611,469,what might have been a predictably heartwarming tale is suffused with complexity .,1
1363,2236,the amazing film work is so convincing that by movies' end you'll swear you are wet in some places and feel sand creeping in others .,1
2748,8498,"i believe silberling had the best intentions here , but he just doesn't have the restraint to fully realize them .",0
3535,538,"hilarious , acidic brit comedy .",1
453,2421,"a thriller with an edge -- which is to say that it doesn't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world .",1
674,3662,one can't deny its seriousness and quality .,1
4681,1202,"the format gets used best . . . to capture the dizzying heights achieved by motocross and bmx riders , whose balletic hotdogging occasionally ends in bone-crushing screwups .",1
3996,3657,"what makes the film special is the refreshingly unhibited enthusiasm that the people , in spite of clearly evident poverty and hardship , bring to their music .",1
1029,3064,director charles stone iii applies more detail to the film's music than to the story line ; what's best about drumline is its energy .,1
3910,4061,"mostly works because of the universal themes , earnest performances . . . and excellent use of music by india's popular gulzar and jagjit singh .",1
3000,2978,"visually engrossing , seldom hammy , honorably mexican and burns its kahlories with conviction .",1
3034,4092,"a shimmeringly lovely coming-of-age portrait , shot in artful , watery tones of blue , green and brown .",1
4657,542,several degrees shy of the gross-out contests one expects from current teen fare .,1
3699,2304,". . . plenty of warmth to go around , with music and laughter and the love of family .",1
1580,8052,opera on film is never satisfactory . the art demands live viewing . the innate theatrics that provide its thrills and extreme emotions lose their luster when flattened onscreen .,0
1290,1351,"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better .",1
3815,2007,"while the film is not entirely successful , it still manages to string together enough charming moments to work .",1
1320,2969,a biopic about crane's life in the classic tradition but evolves into what has become of us all in the era of video .,1
1316,4178,drumline ably captures the complicated relationships in a marching band .,1
1447,2849,"if a horror movie's primary goal is to frighten and disturb , then they works spectacularly well . . . a shiver-inducing , nerve-rattling ride .",1
2781,3128,"'possession , ' based on the book by a . s . byatt , demands that labute deal with the subject of love head-on ; trading in his cynicism for reverence and a little wit",1
1469,2316,"thought-provoking and stylish , if also somewhat hermetic .",1
3073,2001,the film sparkles with the the wisdom and humor of its subjects .,1
1955,3978,"shyamalan takes a potentially trite and overused concept ( aliens come to earth ) and infuses it into a rustic , realistic , and altogether creepy tale of hidden invasion .",1
1076,3031,a glorious mess .,1
3917,1199,"kinnear doesn't aim for our sympathy , but rather delivers a performance of striking skill and depth .",1
4007,4229,it's definitely a step in the right direction .,1
458,823,it's neither as romantic nor as thrilling as it should be . but it offers plenty to ponder and chew on as its unusual relationship slowly unfolds .,1
2505,2512,it's as raw and action-packed an experience as a ringside seat at a tough-man contest .,1
1740,2998,a flawed but engrossing thriller .,1
3284,1005,"a movie that will touch the hearts of both children and adults , as well as bring audiences to the edge of their seats .",1
2263,3692,some remarkable achival film about how shanghai ( of all places ) served jews who escaped the holocaust .,1
1775,2345,"triple x is a double agent , and he's one bad dude . when you've got the wildly popular vin diesel in the equation , it adds up to big box office bucks all but guaranteed .",1
3827,1985,"a thoughtful movie , a movie that is concerned with souls and risk and schemes and the consequences of one's actions .",1
1833,1649,hoffman's performance is authentic to the core of his being .,1
2189,2168,"morvern callar confirms lynne ramsay as an important , original talent in international cinema .",1
3858,1431,"stephen rea , aidan quinn , and alan bates play desmond's legal eagles , and when joined by brosnan , the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing , 'tis .",1
3663,1940,"an entertaining british hybrid of comedy , caper thrills and quirky romance .",1
321,4221,a fanciful drama about napoleon's last years and his surprising discovery of love and humility .,1
2043,1270,"awesome creatures , breathtaking scenery , and epic battle scenes add up to another 'spectacular spectacle . '",1
1788,856,"here , adrian lyne comes as close to profundity as he is likely to get .",1
820,1630,time out is existential drama without any of the pretension associated with the term .,1
2433,35,"though everything might be literate and smart , it never took off and always seemed static .",1
1851,1463,"birthday girl is an amusing joy ride , with some surprisingly violent moments .",1
785,1721,"stands as one of the year's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .",1
1312,4089,"poignant and moving , a walk to remember is an inspirational love story , capturing the innocence and idealism of that first encounter .",1
52,62,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1
108,1686,"the film's strength isn't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .",1
2923,1168,"we root for [clara and paul] , even like them , though perhaps it's an emotion closer to pity .",1
205,102,a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .,1
3434,2475,"you watch for that sense of openness , the little surprises .",1
1173,664,it is inspirational in characterizing how people from such diverse cultures share the same human and spiritual needs .,1
1083,1739,an intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .,1
1066,260,. . . understands that a generation defines its music as much as the music defines a generation .,1
1712,1771,"it's a technically superb film , shining with all the usual spielberg flair , expertly utilizing the talents of his top-notch creative team .",1
1170,2667,"for all its plot twists , and some of them verge on the bizarre as the film winds down , blood work is a strong , character-oriented piece .",1
3712,8275,"this would-be 'james bond for the extreme generation' pic is one big , dumb action movie . stress 'dumb . '",0
3926,1259,"the film's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties .",1
2420,257,"the movie has a soft , percolating magic , a deadpan suspense .",1
1233,2855,"throughout , mr . audiard's direction is fluid and quick .",1
3147,1286,"offers much to enjoy . . . and a lot to mull over in terms of love , loyalty and the nature of staying friends .",1
526,3830,i know that i'll never listen to marvin gaye or the supremes the same way again,1
573,2097,darkly funny and frequently insightful .,1
2147,6581,"thoughtless , random , superficial humour and a lot of very bad scouse accents",0
1476,3725,"brings together some of the biggest names in japanese anime , with impressive results .",1
911,1641,". . . very funny , very enjoyable . . .",1
55,21,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1
3945,3201,"with wit and empathy to spare , waydowntown acknowledges the silent screams of workaday inertia but stops short of indulging its characters' striving solipsism .",1
311,1364,"macdowell , whose wifty southern charm has anchored lighter affairs . . . brings an absolutely riveting conviction to her role .",1
1009,5206,"hope keeps arising that the movie will live up to the apparent skills of its makers and the talents of its actors , but it doesn't .",0
4301,1472,"smith is careful not to make fun of these curious owners of architectural oddities . instead , he shows them the respect they are due .",1
3463,5668,cacoyannis is perhaps too effective in creating an atmosphere of dust-caked stagnation and labored gentility .,0
4660,728,[fessenden] is much more into ambiguity and creating mood than he is for on screen thrills,1
4038,2199,"an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller .",1
2678,4232,"a gem , captured in the unhurried , low-key style favored by many directors of the iranian new wave .",1
2388,4185,"not all of the stories work and the ones that do are thin and scattered , but the film works well enough to make it worth watching .",1
1121,2093,a thought-provoking look at how western foreign policy - however well intentioned - can wreak havoc in other cultures .,1
2049,1789,"there's back-stabbing , inter-racial desire and , most importantly , singing and dancing .",1
2541,7385,"evelyn may be based on a true and historically significant story , but the filmmakers have made every effort to disguise it as an unimaginative screenwriter's invention .",0
1330,254,this is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever .,1
3943,3131,"it's a beautiful film , full of elaborate and twisted characters - and it's also pretty funny .",1
255,7390,just the sort of lazy tearjerker that gives movies about ordinary folk a bad name .,0
791,1933,"while i can't say it's on par with the first one , stuart little 2 is a light , fun cheese puff of a movie .",1
177,2253,"all right , so it's not a brilliant piece of filmmaking , but it is a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself , a playful spirit and a game cast .",1
316,1333,the emotions are raw and will strike a nerve with anyone who's ever had family trauma .,1
1807,2423,"inherently caustic and oddly whimsical , the film chimes in on the grieving process and strangely draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss .",1
3372,3288,"the filmmakers try to balance pointed , often incisive satire and unabashed sweetness , with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching .",1
1614,3691,"this enthralling documentary . . . is at once playful and haunting , an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends .",1
1058,4094,"in many ways , reminiscent of 1992's unforgiven which also utilized the scintillating force of its actors to draw out the menace of its sparse dialogue .",1
2812,1902,real women have curves wears its empowerment on its sleeve but even its worst harangues are easy to swallow thanks to remarkable performances by ferrera and ontiveros .,1
2511,877,"windtalkers blows this way and that , but there's no mistaking the filmmaker in the tall grass , true to himself .",1
3511,2452,"passions , obsessions , and loneliest dark spots are pushed to their most virtuous limits , lending the narrative an unusually surreal tone .",1
4563,811,"a real story about real people living their lives concerned about the future of an elderly , mentally handicapped family member .",1
780,1230,rare birds has more than enough charm to make it memorable .,1
4083,4259,merci pour le movie .,1
2378,56,"manages to be original , even though it rips off many of its ideas .",1
3662,4026,"a delightful romantic comedy with plenty of bite . it's far from a frothy piece , and the characters are complex , laden with plenty of baggage and tinged with tragic undertones .",1
1163,5533,this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,0
1789,572,"as a singular character study , it's perfect . it's also the year's sweetest movie .",1
1674,2241,surprisingly insightful,1
556,115,"in scope , ambition and accomplishment , children of the century . . . takes kurys' career to a whole new level .",1
2968,3991,"unexpected , and often contradictory , truths emerge .",1
2127,4373,the movie is a mess from start to finish .,0
2322,2533,a beguiling evocation of the quality that keeps dickens evergreen : the exuberant openness with which he expresses our most basic emotions .,1
477,1380,"a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard's finest work .",1
4248,1473,a mess when it comes to the characters and writing . . . but works its way underneath the skin like few movies have in recent memory .,1
2234,1661,"maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .",1
2591,3138,"as a director , paxton is surprisingly brilliant , deftly sewing together what could have been a confusing and horrifying vision into an intense and engrossing head-trip .",1
2659,3564,an elegant film with often surprising twists and an intermingling of naiveté and sophistication .,1
4113,1769,"it isn't that the picture is unfamiliar , but that it manages to find new avenues of discourse on old problems .",1
3721,185,"one of the best , most understated performances of [jack nicholson's] career .",1
167,1822,"evokes a palpable sense of disconnection , made all the more poignant by the incessant use of cell phones .",1
3119,4143,"it picked me up , swung me around , and dropped me back in my seat with more emotional force than any other recent film .",1
2181,2323,ultimately engages less for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese 'cultural revolution . ',1
969,2185,"even if you have no interest in the gang-infested , east-vs . -west coast rap wars , this modern mob music drama never fails to fascinate .",1
2392,961,""" the mothman prophecies "" is a difficult film to shake from your conscience when night falls .",1
4224,4820,"most of the storylines feel like time fillers between surf shots . the movie isn't horrible , but you can see mediocre cresting on the next wave .",0
2074,2556,"one of the best films i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense .",1
3543,2922,"the production design , score and choreography are simply intoxicating .",1
2980,2504,"even if you've seen "" stomp "" ( the stage show ) , you still have to see this !",1
2841,3590,"like vardalos and corbett , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and hilarious in ways you can't fake .",1
3556,2632,a haunting tale of murder and mayhem .,1
14,5798,"the techno tux is good for a few laughs , as are chan and hewitt , but when such a good design turns out to be a cheap knockoff , we can't recommend anything but a rental for the tuxedo .",0
2786,3911,abderrahmane sissako's heremakono ( waiting for happiness ) is an elegiac portrait of a transit city on the west african coast struggling against foreign influences .,1
4259,1491,"based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters",1
794,290,"somewhat blurred , but kinnear's performance is razor sharp .",1
842,2945,takashi miike keeps pushing the envelope : ichi the killer,1
1634,1497,if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you .,1
832,2670,it shows us a slice of life that's very different from our own and yet instantly recognizable .,1
2739,4355,"a portrait of alienation so perfect , it will certainly succeed in alienating most viewers .",0
2556,849,"like its two predecessors , 1983's koyaanisqatsi and 1988's powaqqatsi , the cinematic collage naqoyqatsi could be the most navel-gazing film ever .",1
4383,3449,"vibrantly colored and beautifully designed , metropolis is a feast for the eyes .",1
752,385,"a deceivingly simple film , one that grows in power in retrospect .",1
195,1523,"it's a scattershot affair , but when it hits its mark it's brilliant .",1
4100,3161,"while the humor is recognizably plympton , he has actually bothered to construct a real story this time .",1
662,518,"' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '",1
2447,1598,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,1
4249,1547,director andrew niccol . . . demonstrates a wry understanding of the quirks of fame . his healthy sense of satire is light and fun . . . .,1
1016,1438,one from the heart .,1
3731,3322,"though an important political documentary , this does not really make the case the kissinger should be tried as a war criminal .",1
337,608,offers enough playful fun to entertain the preschool set while embracing a wholesome attitude .,1
354,196,. . . there are enough moments of heartbreaking honesty to keep one glued to the screen .,1
2705,997,"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .",1
1839,1301,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .",1
4139,2086,"a memorable experience that , like many of his works , presents weighty issues colorfully wrapped up in his own idiosyncratic strain of kitschy goodwill .",1
3352,3942,i simply can't recommend it enough .,1
2668,2940,a riveting documentary .,1
2757,1816,highly engaging .,1
3617,789,hawke draws out the best from his large cast in beautifully articulated portrayals that are subtle and so expressive they can sustain the poetic flights in burdette's dialogue .,1
2048,3060,funny and also heartwarming without stooping to gooeyness .,1
2120,1658,allen's underestimated charm delivers more goodies than lumps of coal .,1
4116,6057,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos .",0
153,108,the film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm,1
1395,3560,its engaging simplicity is driven by appealing leads .,1
3962,2613,"a typically observant , carefully nuanced and intimate french coming-of-age film that is an encouraging debut feature but has a needlessly downbeat ending that is too heavy for all that has preceded it .",1
2585,3414,birthday girl walks a tricky tightrope between being wickedly funny and just plain wicked .,1
1968,2256,the quirky and recessive charms of co-stars martin donovan and mary-louise parker help overcome the problematic script .,1
3191,80,"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured .",1
4219,4257,"constantly touching , surprisingly funny , semi-surrealist exploration of the creative act .",1
4203,665,it's fairly self-aware in its dumbness .,1
2084,303,the tug of war that ensues is as much a snapshot of modern china in microcosm as it is a crash course in movie mythology .,1
3276,2246,"one of the finest , most humane and important holocaust movies ever made .",1
181,4183,an intelligently made ( and beautifully edited ) picture that at the very least has a spark of life to it -- more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch .,1
802,2717,"this film is not a love letter for the slain rappers , it's a taunt -a call for justice for two crimes from which many of us have not yet recovered .",1
3009,2875,p . t . anderson understands the grandness of romance and how love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never knew were possible .,1
1686,3344,""" mr . deeds "" is suitable summer entertainment that offers escapism without requiring a great deal of thought .",1
1694,946,"a perverse little truffle , dainty psychological terror on the outside with a creamy filling of familial jealousy and unrepentant domestic psychopathy .",1
2247,1782,"on the surface a silly comedy , scotland , pa would be forgettable if it weren't such a clever adaptation of the bard's tragic play .",1
3072,167,"remains a solid , if somewhat heavy-handed , account of the near-disaster . . . done up by howard with a steady , if not very imaginative , hand .",1
1217,4984,kapur's contradictory feelings about his material result in a movie that works against itself .,0
726,2586,refreshing .,1
3196,2604,"fans of critics' darling band wilco will marvel at the sometimes murky , always brooding look of i am trying to break your heart .",1
2755,1027,majidi gets uniformly engaging performances from his largely amateur cast .,1
1944,4123,"it's the cute frissons of discovery and humor between chaplin and kidman that keep this nicely wound clock not just ticking , but humming .",1
3426,2103,a film of ideas and wry comic mayhem .,1
20,3297,o Último suspeito ganha força ao também funcionar em uma esfera adicional : a do drama familiar .,1
4645,2669,this in-depth study of important developments of the computer industry should make it required viewing in university computer science departments for years to come .,1
1918,5444,bad and baffling from the get-go .,0
3364,2324,". . . a solid , well-formed satire .",1
3864,2521,"although it doesn't always hang together -- violence and whimsy don't combine easily -- "" cherish "" certainly isn't dull .",1
3296,1853,"poetry in motion captured on film . while it can be a bit repetitive , overall it's an entertaining and informative documentary .",1
1073,1660,an exhilarating serving of movie fluff .,1
420,1727,the pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .,1
3258,1705,it's a rare window on an artistic collaboration .,1
3934,841,a richly imagined and admirably mature work from a gifted director who definitely has something on his mind .,1
1783,3458,together writer-director danny verete's three tales comprise a powerful and reasonably fulfilling gestalt .,1
306,3406,fudges fact and fancy with such confidence that we feel as if we're seeing something purer than the real thing .,1
4079,2319,"funny in a sick , twisted sort of way .",1
115,90,"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere .",1
3891,2134,"it is ok for a movie to be something of a sitcom apparatus , if the lines work , the humor has point and the actors are humanly engaged .",1
3733,3148,changing lanes is an anomaly for a hollywood movie ; it's a well-written and occasionally challenging social drama that actually has something interesting to say .,1
3651,395,"the best movie of its kind since 'brazil . ' lucas , take notes . this is how you use special effects .",1
1723,2361,it's that rare family movie -- genuine and sweet without relying on animation or dumb humor .,1
552,2229,"giggling at the absurdities and inconsistencies is part of the fun . but the talented cast alone will keep you watching , as will the fight scenes .",1
2934,67,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .,1
2308,5285,the problem is that the movie has no idea of it is serious or not .,0
1480,2024,highly watchable stuff .,1
3886,3767,the history is fascinating ; the action is dazzling . they just don't work in concert .,1
2784,5828,just one bad idea after another .,0
4601,3824,'enigma' is the kind of engaging historical drama that hollywood appears to have given up on in favor of sentimental war movies in the vein of 'we were soldiers . ',1
1546,1239,"ruzowitzky has taken this mothball-y stuff and made a rather sturdy , old-fashioned entertainment out of it .",1
1894,1525,"featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same period as kaufmann's "" quills "" with more unsettlingly realistic results .",1
4275,2590,"return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages .",1
415,3772,it's a fairy tale that comes from a renowned indian film culture that allows americans to finally revel in its splendor .,1
3315,266,"an incendiary , deeply thought-provoking look at one of the most peculiar ( and peculiarly venomous ) bigotries in our increasingly frightening theocracy",1
2735,2495,"see it now , before the inevitable hollywood remake flattens out all its odd , intriguing wrinkles .",1
2394,3774,"the performances of the children , untrained in acting , have an honesty and dignity that breaks your heart .",1
1108,2008,a winning piece of work filled with love for the movies of the 1960s .,1
3841,3711,"as janice , eileen walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm .",1
3869,1284,"prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , jagger obviously relishes every self-mocking moment .",1
3551,3890,"the result is somewhat satisfying -- it still comes from spielberg , who has never made anything that wasn't at least watchable . but it's also disappointing to a certain degree .",1
2176,1489,"while its careful pace and seemingly opaque story may not satisfy every moviegoer's appetite , the film's final scene is soaringly , transparently moving .",1
4537,668,"a compelling , moving film that respects its audience and its source material .",1
859,313,"post 9/11 the philosophical message of "" personal freedom first "" might not be as palatable as intended .",1
1524,3929,maryam is more timely now than ever .,1
4147,3627,what bubbles up out of john c . walsh's pipe dream is the distinct and very welcome sense of watching intelligent people making a movie they might actually want to watch .,1
4659,431,"the sundance film festival has become so buzz-obsessed that fans and producers descend upon utah each january to ferret out the next great thing . 'tadpole' was one of the films so declared this year , but it's really more of the next pretty good thing .",1
4658,4074,an effortlessly accomplished and richly resonant work .,1
734,2779,"it's a treat watching shaw , a british stage icon , melting under the heat of phocion's attentions .",1
3571,3794,it turns out to be smarter and more diabolical than you could have guessed at the beginning .,1
3394,2332,alan and his fellow survivors are idiosyncratic enough to lift the movie above its playwriting 101 premise .,1
111,2362,"the trinity assembly approaches the endeavor with a shocking lack of irony , and george ratliff's documentary , hell house , reflects their earnestness  which makes for a terrifying film .",1
338,100,"chicago is sophisticated , brash , sardonic , completely joyful in its execution .",1
32,2027,"'it's better to go in knowing full well what's going to happen , but willing to let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists . cynics need not apply . '",1
2608,3917,it is refreshingly undogmatic about its characters .,1
4604,1572,what's really so appealing about the characters is their resemblance to everyday children .,1
1064,3042,"the rich performances by friel -- and especially williams , an american actress who becomes fully english -- round out the square edges .",1
4307,3425,australian filmmaker david flatman uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them .,1
247,3939,"impresses as a skillfully assembled , highly polished and professional adaptation . . . just about as chilling and unsettling as 'manhunter' was .",1
1715,616,"an incredibly low-rent danish film , it brings a group of people together in a sweet and charming way , if a little convenient",1
330,1672,the pianist is the film roman polanski may have been born to make .,1
4413,4208,a well paced and satisfying little drama that deserved better than a direct-to-video' release .,1
2387,2535,a riveting story well told .,1
2829,3160,"in a summer of clones , harvard man is something rare and riveting : a wild ride that relies on more than special effects .",1
