,Unnamed: 0,idx,text,label
23539,20611,20611,davis ... gets vivid performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences . ,1
16332,47724,47724,"miller , kuras and the actresses ",1
7238,366,366,free ,1
4776,22122,22122,has pictures of them cavorting in ladies ' underwear ,1
30469,21045,21045,"a delicious , quirky movie with a terrific screenplay and fanciful direction ",1
11580,22364,22364,with tremendous skill ,1
8507,15359,15359,"is great material for a film -- rowdy , brawny and lyrical in the best irish sense ",1
25731,18075,18075,"is , also , frequently hilarious . ",1
2738,28805,28805,unique niche ,1
27810,66245,66245,the energetic and always surprising performance ,1
3457,5804,5804,as big a crowdpleaser as ,1
9304,46763,46763,laid back ,1
1467,24542,24542,an earnest study ,1
9166,16471,16471,exceedingly pleasant ,1
9872,44554,44554,"is fun , and host to some truly excellent sequences ",1
13808,18959,18959,"it 's fun , splashy and entertainingly nasty . ",1
5102,57465,57465,"this misty-eyed southern nostalgia piece , in treading the line between sappy and sanguine ",1
19706,8730,8730,energizes it ,1
27088,11657,11657,offers rare insight into the structure of relationships . ,1
30265,47426,47426,"enjoyable , if occasionally flawed , ",1
6114,43403,43403,are idiosyncratic enough to lift the movie above its playwriting 101 premise ,1
37142,48673,48673,`` the best disney movie ,1
20294,24323,24323,real women have curves truly is life affirming ,1
19364,7469,7469,suspenseful spin ,1
14508,35052,35052,"is that rare animal known as ' a perfect family film , ' ",1
22615,49647,49647,to see a romance this smart ,1
34609,30575,30575,of profound characterizations ,1
22952,66300,66300,magical enough ,1
22282,48339,48339,delightful work ,1
21107,40841,40841,", fierce grace reassures us that he will once again be an honest and loving one . ",1
34123,57316,57316,"directs , ideally capturing the opera 's drama and lyricism ",1
25721,33568,33568,that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture ,1
22285,2047,2047,campanella 's competent direction and his excellent cast overcome the obstacles of a predictable outcome and a screenplay that glosses over rafael 's evolution . ,1
37071,577,577,with the the wisdom and humor of its subjects ,1
29807,46139,46139,can argue that the debate it joins is a necessary and timely one ,1
25866,48103,48103,theological ,1
27094,63539,63539,"( russell ) makes good b movies ( the mask , the blob ) , and the scorpion king more than ably meets those standards . ",1
22526,12302,12302,a sweet and modest and ultimately winning story ,1
987,13947,13947,a no-holds-barred cinematic ,1
15700,6761,6761,"of a self-reflexive , philosophical nature ",1
25519,46588,46588,pubescent ,1
7372,41346,41346,predecessors ,1
19931,20837,20837,about the pitfalls of bad behavior ,1
9399,62728,62728,from firing on all cylinders ,1
34456,9704,9704,work up much entertainment value ,1
6525,66082,66082,never so vividly ,1
15255,47711,47711,"goldbacher draws on an elegant visual sense and a talent for easy , seductive pacing ... but ",1
11533,20982,20982,smart and ,1
595,52936,52936,it does in trouble every day ,1
20036,7569,7569,acquire the fast-paced contemporary society ,1
2965,15310,15310,through some of clancy 's holes ,1
22336,26980,26980,a great cast ,1
5892,66519,66519,near-masterpiece ,1
14774,55111,55111,"manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",1
25217,49457,49457,"a really cool bit -- the movie 's conception of a future-world holographic librarian ( orlando jones ) who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized ",1
470,46433,46433,"somewhat backhanded compliment to say that the film makes the viewer feel like the movie 's various victimized audience members after a while , but it also happens to be the movie 's most admirable quality ",1
21393,58502,58502,doing battle ,1
16729,44213,44213,a portrait of two strong men in conflict ,1
2078,3091,3091,"when twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if argento 's hollywood counterparts ... had this much imagination and nerve ",1
23891,331,331,men ,1
16588,19585,19585,a narrative puzzle that interweaves individual stories ,1
12789,4455,4455,"are simply dazzling , ",1
818,14810,14810,the acting is amateurish ,0
14593,56923,56923,"admire this film for its harsh objectivity and refusal to seek our tears , our sympathies ",1
1310,20910,20910,a bang-up job ,1
7007,16510,16510,goes right ,1
34008,3045,3045,"fun , popcorn movies ",1
29550,15527,15527,"( clooney 's ) debut can be accused of being a bit undisciplined , but it has a tremendous , offbeat sense of style and humor that suggests he was influenced by some of the filmmakers who have directed him , especially the coen brothers and steven soderbergh . ",1
527,50723,50723,true believer ,1
18568,7036,7036,best script ,1
4057,11304,11304,the grandkids or the grandparents ,1
23618,30247,30247,"takes care with the characters , who are so believable that you feel what they feel . ",1
37715,18861,18861,"where janice beard falters in its recycled aspects , implausibility , and sags in pace , it rises in its courageousness , and comedic employment . ",1
17334,42305,42305,"holds interest in the midst of a mushy , existential exploration of why men leave their families ",1
35193,57317,57317,"seems to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did ) ",1
6311,15611,15611,interest onscreen ,1
13955,15387,15387,"is , quite pointedly , ",1
21019,16426,16426,no trouble sitting for blade ii ,1
895,43428,43428,a heartfelt romance for teenagers ,1
28977,14644,14644,"it is were it not for the striking , quietly vulnerable personality of ms. ambrose ",1
5997,51436,51436,that 's been given the drive of a narrative and ,1
32323,1304,1304,good film ,1
18211,48759,48759,american blockbusters ,1
33998,45130,45130,a soul and an unabashed sense of good old-fashioned escapism ,1
6714,15185,15185,has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works ,1
2830,64711,64711,"a funny , triumphant , and ",1
19863,48773,48773,enjoy the film ,1
28031,4982,4982,offers an interesting look ,1
25146,19762,19762,"is a dark , gritty , sometimes funny little gem ",1
15145,39024,39024,working from a surprisingly sensitive script co-written by gianni romoli ... ,1
31485,33670,33670,offers an intriguing what-if premise . ,1
28426,40931,40931,a heartening tale ,1
17551,11381,11381,do no wrong with jason x. ,1
18805,57698,57698,succeeds primarily ,1
13700,897,897,an ebullient affection ,1
16594,29629,29629,"figures prominently in this movie , and helps keep the proceedings as funny for grown-ups as for rugrats . ",1
12374,53736,53736,", but miss wonton floats beyond reality with a certain degree of wit and dignity . ",1
14464,22650,22650,"there are laughs aplenty , ",1
22464,39839,39839,makes for one of the most purely enjoyable and satisfying evenings at the movies i 've had in a while ,1
30319,37151,37151,"a solid , well-formed satire . ",1
10760,56558,56558,as comfort food often can ,1
2737,24341,24341,sheer audacity and openness ,1
14329,60948,60948,puts enough salt ,1
19477,38314,38314,an amusing and unexpectedly insightful examination ,1
30987,25428,25428,song-and-dance-man ,1
17362,64147,64147,is credible and remarkably mature . ,1
29246,46775,46775,very compelling tale ,1
36967,5134,5134,"from both a great and a terrible story , mr. nelson has made a film that is an undeniably worthy and devastating experience . ",1
267,2175,2175,is great ,1
8191,47741,47741,schütte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues brecht faced as his life drew to a close . ,1
37075,50176,50176,cute alien ,1
3660,64974,64974,"a thoughtful examination of faith , love and power ",1
1468,49039,49039,great marching bands ,1
3747,50464,50464,"infidelity drama is nicely shot , well-edited and features a standout performance by diane lane . ",1
22185,26047,26047,"are both superb , ",1
32134,4674,4674,got ,1
33134,3968,3968,i stay positive ,1
4212,39815,39815,though her performance is more interesting ( and funnier ) than his ,1
2812,52829,52829,'s like dying and going to celluloid heaven ,1
23687,10609,10609,"of the most complex , generous and subversive artworks of the last decade ",1
15306,62968,62968,"even with all its botches , enigma offers all the pleasure of a handsome and well-made entertainment . ",1
30968,46780,46780,russian cultural identity and a stunning technical achievement ,1
3104,65853,65853,one of the best rock documentaries ever . ,1
30768,45332,45332,a good video game movie ,1
24420,15929,15929,"although olivier assayas ' elegantly appointed period drama seems , at times , padded with incident in the way of a too-conscientious adaptation ... its three-hour running time plays closer to two . ",1
36123,28824,28824,carry the film with their charisma ,1
9228,23803,23803,is n't afraid to try any genre and to do it his own way ,1
13425,7800,7800,"'d have a 90-minute , four-star movie ",1
37720,57777,57777,"is clever , offbeat and even gritty enough ",1
24029,42772,42772,able to pull it back on course ,1
27343,37271,37271,fit the incredible storyline to a t. ,1
33082,60417,60417,"soderbergh 's best films , `` erin brockovich , '' `` out of sight '' and `` ocean 's eleven , '' ",1
22268,62492,62492,a perfectly rendered period piece ,1
13374,60138,60138,relaxed in its perfect quiet pace ,1
5967,50051,50051,"hopefully , sets the tone for a summer of good stuff ",1
19610,24909,24909,a visually stunning rumination ,1
5068,34023,34023,the kind of effectively creepy-scary thriller that has you fixating on a far corner of the screen at times because your nerves just ca n't take it any more ,1
28926,52508,52508,sending the audience ,1
22300,38173,38173,"stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and ",1
4502,35431,35431,effortlessly draws you in ,1
21143,15651,15651,is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks ,1
31002,20395,20395,that hews out a world and carries us effortlessly from darkness to light ,1
17756,11918,11918,hold our attention ,1
24597,6347,6347,buoyant romantic comedy ,1
19237,50824,50824,answered ,1
17237,35973,35973,a fun family movie that 's suitable for all ages -- a movie that will make you laugh ,1
21634,38051,38051,"the year 's greatest adventure , and jackson 's limited but enthusiastic adaptation has made literature literal without killing its soul -- a feat any thinking person is bound to appreciate . ",1
35604,27085,27085,"gives give a solid , anguished performance that eclipses nearly everything else she 's ever done ",1
18840,1507,1507,make italian for beginners worth the journey ,1
37706,59537,59537,documentary-like credibility ,1
23793,34798,34798,to be released in imax format ,1
24131,7437,7437,by letting you share her one-room world for a while ,1
9898,10052,10052,gently humorous and touching . ,1
36713,14176,14176,the shocking conclusion ,1
36663,26257,26257,"sparkling , often hilarious romantic jealousy comedy ",1
9635,13467,13467,'s refreshing ,1
19691,57423,57423,real masterpiece ,1
25738,25132,25132,a ' list cast ,1
31803,12564,12564,strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama ,1
5351,6381,6381,", and motorcycles ",1
37405,16157,16157,", letting its imagery speak for it while it forces you to ponder anew what a movie can be . ",1
28334,45128,45128,a nicely ,1
27251,24502,24502,encompassing ,1
33390,31938,31938,sneaks up on you ,1
28402,48007,48007,", first-class , natural acting and a look at `` the real americans '' make this a charmer . ",1
9595,62568,62568,appealing enough ,1
4494,8616,8616,performances of exceptional honesty ,1
10890,41203,41203,she loves them to pieces ,1
7790,55623,55623,"... is funny in the way that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , warm without ever succumbing to sentimentality . ",1
25751,53251,53251,made watchable by a bravura performance ,1
35405,42204,42204,dollars ,1
6808,66376,66376,on cue ,1
32532,57897,57897,this intricately structured and well-realized drama that presents a fascinating glimpse of urban life and the class warfare that embroils two young men ,1
13214,29080,29080,funny popcorn ,1
31805,7385,7385,", it 's a lyrical endeavor . ",1
8431,52628,52628,"entirely suspenseful , ",1
31315,52161,52161,"is a beautiful , aching sadness to it all ",1
33590,10430,10430,remind one of a really solid woody allen film ,1
26117,46679,46679,perfect quiet pace ,1
4934,62612,62612,assurance worthy ,1
25627,8108,8108,is better than you might think . ,1
1573,52787,52787,"because its flabbergasting principals , 14-year-old robert macnaughton , 6-year-old drew barrymore and 10-year-old henry thomas , convince us of the existence of the wise , wizened visitor from a faraway planet ",1
33642,13685,13685,as one of ( witherspoon 's ) better films ,1
16502,34552,34552,mesmerised ,1
26176,52676,52676,the name of high art ,1
4354,8534,8534,"a penetrating , potent exploration of sanctimony , self-awareness , self-hatred and self-determination . ",1
16600,26441,26441,gifted performers ,1
19670,33527,33527,does display an original talent ,1
21279,34159,34159,"in the disturbingly involving family dysfunctional drama how i killed my father , french director anne fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition ",1
11293,42753,42753,the inherent absurdity of ganesh 's rise ,0
26536,51610,51610,mind and spirit ,1
17769,62475,62475,best story ,1
6999,35824,35824,"adrift , bentley and hudson ",0
26531,45215,45215,sucking you in ... and making you sweat ,1
3501,65646,65646,"color and depth , and ",1
16573,62277,62277,'s something vital about the movie ,1
15166,24586,24586,made swimfan anyway ,1
24103,491,491,moving and important ,1
1648,19610,19610,a heartening tale of small victories and enduring ,1
32392,2136,2136,an american ,1
31264,61207,61207,strangely liberating ,1
27037,4433,4433,the solid filmmaking and convincing characters makes this a high water mark for this genre . ,1
6197,34979,34979,enough clever and unexpected ,1
6928,63275,63275,moved to the edge of their seats ,1
28846,3729,3729,"kwan is a master of shadow , quietude , and room noise , ",1
20651,43941,43941,is the film roman polanski may have been born to make ,1
21233,34673,34673,the courage of its convictions and ,1
19765,48938,48938,"the sex , a wonderful tale of love and destiny ",1
31776,34110,34110,"in the affable maid in manhattan , jennifer lopez 's most aggressive and most sincere attempt to take movies by storm , the diva shrewdly surrounds herself with a company of strictly a-list players . ",1
9154,13265,13265,a moving and weighty depiction of one family 's attempts to heal after the death of a child . ,1
32691,6815,6815,a little better than sorcerer 's stone . ,1
22900,32961,32961,superb performances throughout ,1
22512,30113,30113,"sure to give you a lot of laughs in this simple , sweet and romantic comedy ",1
3409,45382,45382,fabulousness ,1
26645,43639,43639,as original and insightful ,1
21639,41813,41813,"petter næss ' delicate , clever direction ",1
29459,18432,18432,"not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon , dustin hoffman and holly hunter , yet newcomer ellen pompeo pulls off the feat with aplomb ",1
25142,24365,24365,"an extended , open-ended poem than a traditionally structured story ",1
7365,44675,44675,"all the pieces fall together without much surprise , but ",1
469,58681,58681,had this much imagination and nerve ,1
9504,4359,4359,it 's dark but has wonderfully funny moments ,1
3198,37876,37876,above its disgusting source material ,1
16302,14416,14416,offbeat thriller ,1
7245,66908,66908,still committed to growth in his ninth decade ,1
8388,61202,61202,", this is beautiful filmmaking from one of french cinema 's master craftsmen . ",1
22918,54833,54833,by its end offers a ray of hope to the refugees able to look ahead and resist living in a past ,1
280,57971,57971,admirers ,1
37534,52052,52052,though it 's told with sharp ears and eyes for the tenor of the times ,1
6681,676,676,made a decent ` intro ' documentary ,1
23942,6760,6760,'s quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer . ,1
12659,57824,57824,"a vivid , spicy footnote to history , and ",1
26797,38514,38514,a great script ,1
21216,55669,55669,engages less for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese ` cultural revolution . ' ,1
24851,49023,49023,"a chance to learn , to grow , to travel ",1
2169,57391,57391,of the funniest motion ,1
32160,1441,1441,"there 's real visual charge to the filmmaking , ",1
12900,45817,45817,thoughtful and unflinching examination ,1
32018,44719,44719,enjoyably ,1
28978,11855,11855,might go down as one of the all-time great apocalypse movies . ,1
27072,31566,31566,the film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet . ,1
11782,54531,54531,feel a nagging sense of deja vu ,1
6187,12562,12562,a reprieve ,1
14965,41455,41455,zeal ,1
9456,31389,31389,clean and ,1
1627,57450,57450,takes hold . ,1
33739,47776,47776,"trapped wo n't score points for political correctness , but it may cause parents a few sleepless hours -- a sign of its effectiveness . ",1
38152,47103,47103,is wonderful . ,1
26037,21969,21969,you ca n't help but get caught up in the thrill of the company 's astonishing growth . ,1
34730,52941,52941,every once in a while a film ,1
37042,61100,61100,safe conduct is anything but languorous . ,1
6796,26733,26733,will have an intermittently good time . ,1
15571,51576,51576,"creates an impeccable sense of place , ",1
37265,60549,60549,incredibly flexible cast ,1
195,60238,60238,compliment ,1
20093,54180,54180,sharp as a samurai sword ,1
30022,55494,55494,make the stones weep -- ,1
3670,32204,32204,which proves that rohmer still has a sense of his audience ,1
26728,65816,65816,a supremely kittenish performance that gradually accumulates more layers ,1
23337,53473,53473,"the lightest , most breezy movie steven spielberg ",1
28341,48955,48955,'s pure entertainment ,1
38029,59545,59545,a fair bit of vampire fun ,1
25088,27114,27114,the adjective ` gentle ' ,1
9551,46138,46138,worth a look ,1
19719,51769,51769,nervy and ,1
36855,63373,63373,cruelly funny ,1
32871,48193,48193,"the journey to the secret 's eventual discovery is a separate adventure , and thrill enough ",1
7991,31169,31169,"is suspenseful and ultimately unpredictable , with a sterling ensemble cast . ",1
28241,4358,4358,extraordinary debut from josh koury . ,1
31892,12359,12359,alternately touching and funny ,1
1216,37065,37065,the kind of ` laugh therapy ' i need from movie comedies ,1
36028,55947,55947,is that there 's a casual intelligence that permeates the script ,1
18200,37549,37549,those moviegoers who would automatically bypass a hip-hop documentary should give `` scratch '' a second look . ,1
21773,42388,42388,sometimes quite funny ,1
16070,33475,33475,"this rich , bittersweet israeli documentary ",1
10115,58751,58751,"is a finely written , superbly acted offbeat thriller . ",1
20647,5907,5907,the recording sessions are intriguing ,1
36161,64465,64465,it certainly does n't feel like a film that strays past the two and a half mark ,1
22768,40188,40188,"a walk to remember is an inspirational love story , capturing the innocence and idealism of that first encounter . ",1
14236,18468,18468,that `` gangs '' is never lethargic ,1
9862,36177,36177,is extremely thorough ,1
29346,9025,9025,the brilliant surfing photography bringing you right inside the massive waves that lifts blue crush into one of the summer 's most pleasurable movies ,1
27046,62293,62293,sophisticated and unsentimental treatment ,1
27649,50927,50927,"that memorable , ",1
18827,51656,51656,joy and energy ,1
6105,22659,22659,set up ,1
16392,61169,61169,i liked a lot of the smaller scenes . ,1
730,28977,28977,immensely ambitious ,1
8510,21157,21157,"more mature than fatal attraction , more complete than indecent proposal ",1
25932,41396,41396,be so light-hearted ,1
26933,33280,33280,it succeeds . ,1
32376,53424,53424,who are alternately touching and funny ,1
8735,58491,58491,in form ,1
8953,9835,9835,if you love reading and/or poetry ,1
31429,12876,12876,some interesting storytelling devices ,1
20040,14846,14846,understands how to create and sustain a mood ,1
2524,4613,4613,"a piece of mildly entertaining , inoffensive fluff that drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing category : unembarrassing but unmemorable ",1
33308,16924,16924,in the midwest that held my interest precisely because it did n't try to ,1
10894,10229,10229,"inherently caustic and oddly whimsical , the film chimes in on the grieving process and strangely draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss . ",1
33183,47341,47341,title performance ,1
29341,60010,60010,", then you will probably have a reasonably good time with the salton sea . ",1
17064,47943,47943,shiri is a must for genre fans . ,1
6534,65030,65030,provides a very moving and revelatory footnote to the holocaust ,1
5789,47175,47175,has done his homework and soaked up some jazzy new revisionist theories about the origins of nazi politics and aesthetics ,1
10653,58,58,starts with a legend ,1
33303,51305,51305,is a good-hearted ensemble comedy with a variety of quirky characters and an engaging story . ,1
10024,52592,52592,of cinematic perfection ,1
33991,1805,1805,"a smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist ",1
33038,25705,25705,has been remarkable about clung-to traditions ,1
18798,27874,27874,bring their characters to life . ,1
12696,46856,46856,"come from philippe , who makes oliver far more interesting than the character 's lines would suggest , and sarandon , who could n't be better as a cruel but weirdly likable wasp matron . ",1
13090,55433,55433,"was influenced by some of the filmmakers who have directed him , especially the coen brothers and steven soderbergh ",1
8208,52215,52215,"as an articulate , grown-up voice in african-american cinema ",1
26494,10882,10882,more and more frustrating ,0
8176,33682,33682,"it 's a beautiful film , full of elaborate and twisted characters - and ",1
12491,14726,14726,a great time ,1
9125,34376,34376,"is a genuine love story , full of traditional layers of awakening and ripening and separation and recovery ",1
33113,45617,45617,though jones and snipes are enthralling ,1
25023,54915,54915,remarkable procession ,1
6336,32141,32141,greatest adventure ,1
16692,8907,8907,glorious ,1
8236,9983,9983,not to be swept away by the sheer beauty of his images ,1
10764,31272,31272,", memorable cinematic experience ",1
24154,46381,46381,the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo-jumbo ,0
19400,43977,43977,the theme does n't drag an audience down ,1
6257,7030,7030,would be like to be smack in the middle of a war zone armed with nothing but a camera ,1
4072,20997,20997,"enigma looks great , has solid acting and a neat premise . ",1
27066,53240,53240,play out realistically if not always fairly ,1
26158,36018,36018,go down as one of the all-time great apocalypse movies ,1
13954,35580,35580,as a ` very sneaky ' butler who excels in the art of impossible disappearing/reappearing acts ,1
25169,33614,33614,its charm ,1
10399,36607,36607,a fair share ,1
12385,43227,43227,jaw-dropping action sequences ,1
30127,10883,10883,realistically terrifying movie ,1
37155,41667,41667,the audience award for documentaries at the sundance film festival ,1
18195,46689,46689,that makes it attractive throughout ,1
22222,50562,50562,car to drive through ,1
7972,57838,57838,a skillful filmmaker can impart a message without bludgeoning the audience over the head ,1
29292,45544,45544,commanding screen presence ,1
1170,6215,6215,enjoyable 100 minutes ,1
22440,32773,32773,but darned if it does n't also keep us riveted to our seats . ,1
15491,63553,63553,clever ideas and ,1
13033,54400,54400,milquetoast ,0
28560,31947,31947,"lee seems just as expectant of an adoring , wide-smiling reception . ",1
25920,32348,32348,cute alien creature ,1
35782,55748,55748,meyjes ' provocative film ,1
34962,29434,29434,"is a beautifully shot , but ultimately flawed film about growing up in japan . ",1
11865,64127,64127,finch 's tale provides the forgettable pleasures of a saturday matinee ,1
23378,20726,20726,slam-bang extravaganza ,1
15787,63267,63267,"an enormously entertaining movie , like nothing we 've ever seen before , and yet completely familiar . ",1
5759,40447,40447,big-fisted ,1
24304,59710,59710,favorably ,1
14428,5673,5673,"fun , and ",1
2815,29619,29619,to champion the fallibility of the human heart ,1
32758,12372,12372,effecting ,1
18045,37801,37801,this painfully unfunny farce traffics in tired stereotypes and encumbers itself with complications ,0
8013,43749,43749,"a reminder of how they used to make movies , but also how they sometimes still can be made . ",1
32865,20361,20361,rich in emotional texture ,1
16878,29878,29878,provides the drama that gives added clout to this doc . ,1
8980,32132,32132,the early and middle passages ,1
29143,2735,2735,"of whimsicality , narrative discipline and serious improvisation ",1
13546,12798,12798,"with increasingly amused irony , the relationship between reluctant captors and befuddled captives . ",1
35016,59210,59210,surprisingly affecting ,1
32168,45490,45490,'ll probably love it ,1
15819,33552,33552,the everyday lives ,1
16215,54839,54839,"is the stuff of high romance , brought off with considerable wit ",1
26982,8672,8672,a complex psychological drama about a father who returns to his son 's home after decades away . ,1
33835,39224,39224,original in its base concept that you can not help but get caught up . ,1
21498,40625,40625,our moviemakers ,1
2802,62667,62667,has made the near-fatal mistake of being what the english call ` too clever by half . ' ,0
29892,27295,27295,", and better ",1
15039,47683,47683,going where no man has gone before ,1
13078,18499,18499,part of the film 's cheeky charm ,1
3833,37342,37342,works as well as it does because of the performances ,1
6295,61884,61884,for laughs ,1
9807,36865,36865,"a very distinctive sensibility , ",1
4600,66342,66342,extraordinary debut ,1
8225,40855,40855,our close ties with animals ,1
12446,29320,29320,with remarkable skill ,1
4521,26945,26945,should strike a nerve in many . ,1
3138,11009,11009,"singing , and unforgettable characters ",1
27762,52515,52515,the film is well under way -- ,1
13730,27620,27620,becomes a testament ,1
21419,43590,43590,"is nicely shot , well-edited and features a standout performance by diane lane ",1
32993,66089,66089,to see what all the fuss is about ,1
3,66511,66511,pleasure to have a film like the hours as an alternative ,1
1015,44822,44822,the best performance ,1
23705,61341,61341,since the thrills pop up frequently ,1
6753,21708,21708,sumptuous work ,1
21248,43201,43201,the animation master ,1
8999,13005,13005,really gives the film its oomph ,1
3292,15160,15160,"his brawny frame and cool , composed delivery ",1
11567,50292,50292,"observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism ",1
15283,46667,46667,bombshell documentary ,1
34094,35489,35489,enhance ,1
30206,24949,24949,a small movie with a big impact . ,1
2654,37241,37241,of testing boundaries ,1
30754,17645,17645,shiri is an action film that delivers on the promise of excitement ,1
15549,160,160,"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . ",1
4393,66010,66010,movie gauge ,1
16756,11236,11236,but strangely believable ,1
22247,2525,2525,rancorous curiosity ,1
19818,29027,29027,a charmer from belgium ,1
9032,25596,25596,for genre fans ,1
14376,57707,57707,funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work ,1
35352,9821,9821,be liked sometimes ,1
17161,32232,32232,of hopeful ,1
37575,20321,20321,` cultural revolution ,1
2701,18727,18727,the writing is clever ,1
34811,57849,57849,heartfelt and ,1
29791,15998,15998,"the emotion is impressively true for being so hot-blooded , and both leads are up to the task . ",1
4901,50011,50011,a serious debt to the road warrior ,1
1864,14373,14373,guessing at almost every turn ,1
15279,25834,25834,"exalts the marxian dream of honest working folk , ",1
8478,67106,67106,has a number of other assets to commend it to movie audiences both innocent and jaded ,1
