,original,paraphrase
1,can't seem to get anywhere near the story's center .,having trouble finding the narrative's central point
2,can't seem to get anywhere near the story's center .,still far from the story's core
3,can't seem to get anywhere near the story's center .,finding it difficult to get near the heart
0,can't seem to get anywhere near the story's center .,struggling to connect with the main plot point
1,can't seem to get anywhere near the story's center .,can't seem to find the narrative's core
2,can't seem to get anywhere near the story's center .,having trouble grasping the central theme
3,can't seem to get anywhere near the story's center .,difficulty reaching the heart of the story
4,can't seem to get anywhere near the story's center .,finding
0,can't seem to get anywhere near the story's center .,i'm having trouble finding my way to the story's core
1,can't seem to get anywhere near the story's center .,struggling to get closer to the heart of the story
2,can't seem to get anywhere near the story's center .,having trouble pinpointing the narrative's central theme
3,can't seem to get anywhere near the story's center .,finding it difficult to
0,can't seem to get anywhere near the story's center .,struggling to find the plot's core is like trying to grasp a handful of sand
0,can't seem to get anywhere near the story's center .,i'm having trouble getting to the core of the narrative
1,can't seem to get anywhere near the story's center .,struggling to grasp the essence of the story
2,can't seem to get anywhere near the story's center .,having a hard time reaching the heart of the plot
3,can't seem to get anywhere near the story's center .,finding it tough to get to
0,can't seem to get anywhere near the story's center .,still having a hard time getting a grip on the plot's core
1,can't seem to get anywhere near the story's center .,struggling to find the narrative's central axis
2,can't seem to get anywhere near the story's center .,still can't seem to pinpoint the story's pivotal point
3,can't seem to get anywhere near the story's center .,having trouble getting
0,can't seem to get anywhere near the story's center .,still can't seem to get near the actual story's core
1,can't seem to get anywhere near the story's center .,struggling to reach the heart of the story somehow
2,can't seem to get anywhere near the story's center .,having trouble getting to the center of the narrative
3,can't seem to get anywhere near the story's center .,finding it tough to get
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","it's got some quirky notions and a handful of snickers but it's not exactly a kids' flick  alas, santa's more of a snooze fest than a jolly old elf and the snowman has all the"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","it's got a few adorable concepts and some mildly amusing moments but it's not exactly suitable for little ones  unfortunately, santa's more meh than merry and the snowman ( who's stuck playing that flute ) has"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the movie has some adorable concepts and a handful of mild giggles but it's not exactly kid-friendly... sadly, santa is more meh than merry and the snowman ( who never gets to bust out that flute ) has"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the flick has some adorable concepts and a handful of mild giggles but it's not exactly suitable for the wee ones... sadly, santa is more humdrum than ho-ho-ho and the snowman ( who never"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the film has a few adorable ideas and several mild giggles but it's not exactly kid-friendly... sadly, santa is more meh than merry and the snowman ( who never gets to play his flute ) has all the"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the flick has some endearing notions and a handful of chuckles but it's not exactly kid-friendly... unfortunately, santa falls flat as a one-trick sleigh and the snowman ( who's stuck playing that flute )"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .",the flick has some sweet ideas and a handful of giggles but its not exactly kid-friendly... unfortunately santa is more meh than merry and the snowman who never gets to bust out that flute has all the charisma of a
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the film has a few cute concepts and several mild giggles but it isn't exactly kid-friendly... alas, santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute )"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","it's got a handful of sweet ideas and some mild giggles but it's not exactly kid-friendly... sadly, santa is more meh than merry and the snowman ( who never gets to bust out that flute ) has"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the flick has a few adorable concepts and some mildly amusing bits but its not exactly suitable for little ones... sadly, santa falls flat as a one-trick sultan of sleigh and the snowman who never gets to bust"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","it's got a few adorable concepts and some mild giggles but it's not exactly a kids' movie, sadly santa is more meh than merry and the snowman who never gets to play that flute is about as charming"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the film has a few cute ideas and some minor laughs but it's not exactly kid-friendly... sadly, santa is more meh than merry and the snowman ( who never gets to bust out that flute ) has all the charm of"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .",it's got a few adorable concepts and a handful of mild giggles but it's no kids' movie... santa's a bit of a snooze fest and the snowman's got all the personality of a puddle of
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","it's got some cute concepts and a few giggles but it's not exactly kid-friendly... unfortunately, santa's a bit of a snooze fest and the snowman ( who's still waiting to bust out that flute )"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","it's got a few cute concepts and some decent giggles but it's not exactly kid-friendly... sadly, santa is more meh than merry and the snowman ( who never gets to bust out that flute ) has all"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the flick has a handful of cute concepts and a few decent chuckles but it's not exactly kid-friendly… sadly, santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to bust out"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the flick has a handful of adorable concepts and some decent giggles but its not exactly kid-friendly... oh well, santa is more meh than merry and the snowman who never gets to bust out that flute has all the allure of"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","it's got some adorable concepts and a few giggles but it's not exactly suitable for little ones... sadly, santa's more meh than merry and the snowman ( who's stuck with that flute ) has all the"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .",the flick has a handful of endearing concepts and a few gentle giggles but its not exactly kid-friendly sad to say santa falls flat as ho-ho-ho and the snowman who never gets to bust out his
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the flick has a handful of adorable concepts and some mild giggles but its not exactly kid-friendly… sadly, santa is more meh than merry and the snowman ( who never gets to bust out that flute ) has all"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","it's got some adorable concepts and a few snickers but it's not exactly kid-friendly, sadly... santa's more meh than merry and the snowman (who's stuck with that flute) is about as charming as"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the flick has a handful of adorable concepts and some mild giggles but it's not exactly suitable for tots  unfortunately, santa is more meh than merry and the snowman ( who never gets to bust out that flute )"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the film has a few endearing moments and some mild giggles but it's not exactly kid-friendly unfortunately, santa is more meh than merry and the snowman ( who never gets to bust out his flute ) has"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","it's got some cute concepts and a handful of chuckles but it's not exactly a kids' movie... unfortunately, santa is more of a snooze fest than a jolly old elf and the snowman ( who never"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .",the film has a few adorable concepts and some decent giggles but its not exactly kid-friendly... unfortunately santa is more meh than merry and the snowman ( who never gets to bust out that flute ) has all the allure
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","it's got some sweet ideas and a few laughs but it's not exactly kid-friendly... alas, santa is more meh than merry and the snowman ( who never gets to bust out that flute ) has all the charm"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","it's got some cute concepts and a few chuckles but its not exactly kid-friendly... alas, santa is more meh than merry and the snowman ( who never gets to bust out that flute ) has all the charm of a"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the movie has a handful of cute concepts and some minor giggles but its not exactly kid-friendly... unfortunately, santa is more meh than merry and the snowman ( who never gets to bust out his flute ) has all"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the film has some endearing notions and a handful of mild chuckles but its not exactly kid-friendly sadly, santa is more meh than merry and the snowman ( who never gets to play that flute ) has all the charm"
0,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown .","the movie's got some decent kid-friendly moments and a few giggles but it's not exactly suitable for little ones... santa's a bit of a letdown and the snowman's all crumby, like a meltdown"
0,neither funny nor suspenseful nor particularly well-drawn .,it's not exactly laugh out loud material nor is it meant to keep you on the edge of your seat
1,neither funny nor suspenseful nor particularly well-drawn .,not particularly well-written nor does it build up to a thrilling conclusion
2,neither funny nor suspenseful nor particularly well-drawn .,the storytelling is lacking in
0,neither funny nor suspenseful nor particularly well-drawn .,it's not exactly laugh out loud material or a page turner
1,neither funny nor suspenseful nor particularly well-drawn .,not exactly something that's meant to be humorous or suspenseful
2,neither funny nor suspenseful nor particularly well-drawn .,not well-written or engaging
3,neither funny nor suspenseful nor particularly well-drawn .,fails to elicit any strong
0,neither funny nor suspenseful nor particularly well-drawn .,it's not laugh out loud nor suspenseful nor that well-written.
1,neither funny nor suspenseful nor particularly well-drawn .,not exactly laugh-out-loud nor suspenseful nor particularly engaging.
2,neither funny nor suspenseful nor particularly well-drawn .,neither funny nor suspenseful nor particularly well-crafted.
0,neither funny nor suspenseful nor particularly well-drawn .,not exactly laugh-out-loud nor suspenseful nor particularly well-developed.
1,neither funny nor suspenseful nor particularly well-drawn .,"it's not funny, nor suspenseful, nor the storytelling is lacking."
2,neither funny nor suspenseful nor particularly well-drawn .,it's not laugh-out-loud material nor does it
0,neither funny nor suspenseful nor particularly well-drawn .,not exactly laugh-out-loud material or suspenseful in the least
1,neither funny nor suspenseful nor particularly well-drawn .,not particularly well-crafted or engaging
0,neither funny nor suspenseful nor particularly well-drawn .,not exactly laugh out loud material or suspenseful in the least
1,neither funny nor suspenseful nor particularly well-drawn .,not particularly well crafted or engaging
0,neither funny nor suspenseful nor particularly well-drawn .,not exactly laugh-out-loud or suspenseful moments that really grabbed me
1,neither funny nor suspenseful nor particularly well-drawn .,"it lacked humor and suspense, failing to draw me in effectively"
2,neither funny nor suspenseful nor particularly well-drawn .,not particularly amusing or suspenseful scenes that stood out to
0,neither funny nor suspenseful nor particularly well-drawn .,"not exactly laugh-out-loud material or suspenseful in any way, to be honest"
1,neither funny nor suspenseful nor particularly well-drawn .,neither humorous nor suspenseful nor particularly engaging
2,neither funny nor suspenseful nor particularly well-drawn .,"not particularly funny or suspenseful, unfortunately"
3,neither funny nor suspenseful nor particularly well-drawn .,not laugh-out-loud funny or
0,neither funny nor suspenseful nor particularly well-drawn .,not exactly laugh-out-loud nor suspenseful nor particularly well-crafted
1,neither funny nor suspenseful nor particularly well-drawn .,neither amusing nor suspenseful nor particularly skillfully drawn
0,neither funny nor suspenseful nor particularly well-drawn .,it's not laugh out loud nor suspenseful nor particularly well-drawn
1,neither funny nor suspenseful nor particularly well-drawn .,neither funny nor suspenseful nor particularly well-drawn in any way
2,neither funny nor suspenseful nor particularly well-drawn .,this isn't funny or suspenseful or well-drawn
0,neither funny nor suspenseful nor particularly well-drawn .,not particularly amusing or suspenseful nor well-conceived.
1,neither funny nor suspenseful nor particularly well-drawn .,not suspenseful nor funny nor particularly well-imagined.
2,neither funny nor suspenseful nor particularly well-drawn .,neither suspenseful nor funny nor well-structured.
3,neither funny nor suspenseful nor particularly well-drawn .,not funny
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .",ms. shreve's novel proved a tough nut to crack despite the talents of a top-notch cast.
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .",ms. shreve's novel was a real challenge to get right even with an all-star cast on board
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","Ms. Shreve's novel proved a tough nut to crack, even for a first-rate cast to tackle."
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .",Ms. Shreve's novel was a stubborn text that refused to yield to even the best ensemble.
2,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .",Ms. Sh
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .",Ms. Shreve's novel proved a tough nut to crack despite the talents of a first-rate cast.
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .",Ms. Shreve's novel was a real challenge to bring to life even with a top-notch cast.
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","in old-fashioned screenwriting parlance, ms. shreve's novel was a tough nut to crack, even for a talented troupe of thespians."
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","in the parlance of bygone screenwriting days, ms. sh"
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","ms. shreve's novel proved a tough nut to crack, even for a top-notch cast."
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","ms. shreve's novel gave the talented cast a run for their money, but they still couldn't quite"
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","Ms. Shreve's novel gave even a top-notch cast a run for their money in terms of difficulty to 'lick', "
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","Ms. Shreve's novel proved a tough nut to crack, even for a"
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","ms. shreve's novel was a tough nut to crack, even with a top-notch cast on board, "
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","ms. shreve's novel proved a challenging script to 'lick', with an all-star cast"
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .",Ms. Shreve's novel proved a tough nut to crack for the talented cast to 'lick' despite their best efforts.
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .",the cast of ms. shreve's novel struggled to 'lick' a script that
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","Ms. Shreve's novel proved a tough nut to crack for the talented cast to get their teeth into, "
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","Ms. Shreve's novel proved a stubborn text that refused to be licked by the skilled cast,"
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","ms. shreve's novel proved a tough nut to crack, even for a talented troupe."
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .",ms. shreve's novel was a tough sell for the seasoned cast to tackle effectively.
2,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .",ms
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .",Ms. Shreve's novel proved a tough nut to crack even for an all-star cast to 'lick'.
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","Ms. Shreve's novel was a challenging script to tackle, even for a talented ensemble."
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","Ms. Shreve's novel was a tough nut to crack, even with an all-star cast on board."
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .",Ms. Shreve's novel proved a real challenge for the talented cast to get their teeth into.
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","Ms. Shreve's novel gave the top-notch cast a run for their money, but ultimately proved too tough a nut to crack."
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","The talented cast gave it their all, but Ms. Shreve's novel"
0,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","Ms. Shreve's novel was a tough nut to crack, even for a talented troupe of thespians."
1,"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast .","Ms. Shreve's novel proved a formidable challenge, with a distinguished ensemble struggling to get a grip on"
0,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, low-budget and exhausted formula flick masquerading as an urban drama. "
1,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a low-rent, tired and loud formula film trying to pass itself off as urban drama. "
2,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, low-budget and worn"
0,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a low-rent, loud and exhausted formula flick masquerading as an 'urban drama' "
1,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, bargain-bin formula film wrapped in the euphemism of 'urban drama' "
2,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '",a tired
0,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a low-rent, high-octane urban drama that reeks of desperation. "
1,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '",a budget-buster of a film that wears its gritty urban credentials like a badge of honour. 
2,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud,"
0,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a low-budget, loud and exhausted film that wraps itself in the euphemism 'urban drama',"
1,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, low-budget, and beat film that tries to hide behind the label 'urban drama'"
2,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, low"
0,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a gritty, shoestring budget flick masquerading as an urban drama "
1,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a low-rent, over-the-hill action movie hiding behind the label 'urban drama '"
2,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, low-budget sno"
0,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, low-budget, and exhausted film masquerading as an 'urban drama' "
1,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, low-budget, and burnt-out flick trying to pass off as an 'urban drama' "
2,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '",a
0,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '",a gritty low-budget film that's masquerading as an 'urban drama' 
1,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, over-the-top low-budget flick that's trying to pass itself off as an 'urban drama' "
0,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '",a low-budget formula flick that's wrapped in the euphemism 'urban drama' and sounds like a tired mess
1,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, low-budget film that's being sold as an 'urban drama' but looks like"
0,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a gritty, low-rent thriller that's masquerading as an 'urban drama',"
1,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, cruddy, and exhausted formula flick that's trying to pass itself off as a 'urban drama'"
0,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, low-budget and exhausted formula flick that's masquerading as an 'urban drama',"
1,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a low-rent, overwrought and fatigued genre pic that's trying to sneak in under"
0,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, low-budget and exhausted formula flick that wears the mask of 'urban drama'. "
1,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a loud, low-budget and fatigued formula film masquerading as 'urban drama'. "
0,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all joy, ye who dare to tread here... let the weight of dante's ominous warning be your beacon. "
1,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","dare to enter, mortals, and abandon all hope..."
0,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","abandon all hope, ye who dare to tread this forsaken path..."
1,"'abandon all hope , ye who enter here' . . . you should definitely let dante's gloomy words be your guide .","may those who enter here surrender to eternal despair, ye wretched souls"
